;item_sanitizado;contagem_itens;orgaos_unicos_mp;orgaos_unicos_geral;categoria_cnj;categoria_mp;flag;PL;status
364;juros indenizacao de remuneracao;452;0;1;NA;NA;0;;
365;vantagem pessoal localidade;451;0;1;NA;NA;0;;
366;gratificacao eleitoral ref 072021;450;0;1;NA;NA;0;;
367;hora aula atividade;444;0;1;NA;NA;0;;
368;gratificacao eleitoral ref 122022;443;0;1;NA;NA;0;;
369;gratificacao eleitoral ref 052021;442;0;1;NA;NA;0;;
370;gratificacao eleitoral ref 052023;442;0;1;NA;NA;0;;
371;gratificacao eleitoral ref 052024;442;0;1;NA;NA;0;;
372;pedido de providencias no 00011516920162000000cnj;442;0;1;NA;NA;0;;
373;abono pecuniario magistrado;441;0;1;NA;NA;0;;
374;reembolso de despesas medicas devolucao unimed mensalidade;441;0;1;NA;NA;0;;
375;gratificacao eleitoral ref 012023;439;0;1;NA;NA;0;;
376;gratificacao eleitoral ref 042024;436;0;1;NA;NA;0;;
377;gratificacao eleitoral ref 012022;435;0;1;NA;NA;0;;
378;gratificacao eleitoral ref 062023;434;0;1;NA;NA;0;;
379;gratificacao eleitoral ref 042023;433;0;1;NA;NA;0;;
380;gratificacao eleitoral ref 112023;433;0;1;NA;NA;0;;
381;gratificacao eleitoral ref 032023;431;0;1;NA;NA;0;;
382;gratificacao eleitoral ref 092021;431;0;1;NA;NA;0;;
383;gratificacao eleitoral ref 092023;430;0;1;NA;NA;0;;
384;gratificacao eleitoral ref 012021;429;0;1;NA;NA;0;;
385;gratificacao eleitoral ref 022023;428;0;1;NA;NA;0;;
386;gratificacao eleitoral ref 032024;427;0;1;NA;NA;0;;
387;correcao monet indenizatoria juros;426;0;1;NA;NA;0;;
388;reembolso de despesas medicas dev prosercontribuicao mensal dev unimed plano assist medica;426;0;1;NA;NA;0;;
389;gratificacao eleitoral ref 032022;423;0;1;NA;NA;0;;
390;gratificacao eleitoral ref 122020;423;0;1;NA;NA;0;;
391;auxilio transporte estagiario;422;1;1;NA;NA;0;;
392;dec judic tj quintosdecimos vpni mag;422;0;2;NA;NA;0;;
393;gratificacao eleitoral ref 082021;422;0;1;NA;NA;0;;
394;gratificacao eleitoral ref 032020;420;0;1;NA;NA;0;;
395;27 grat de diretor de foro;418;0;1;NA;NA;0;;
396;prosaude reembolso;418;0;1;NA;NA;0;;
397;gratificacao eleitoral ref 082023;417;0;1;NA;NA;0;;
398;ressarcimento de transporte;417;0;1;NA;NA;0;;
399;vpni quintosgel;416;0;1;NA;NA;0;;
400;abono pecuniario de ferias magistrado;414;0;1;NA;NA;0;;
401;gratificacao eleitoral ref 102022;414;0;1;NA;NA;0;;
402;gratificacao eleitoral ref 122023;414;0;1;NA;NA;0;;
403;devolucoesacerto financeiro indenizacao de compensacao de horas licenca compensatoria;413;0;1;NA;NA;0;;
404;gratificacao eleitoral ref 022018;411;0;1;NA;NA;0;;
405;gratificacao eleitoral ref 022024;410;0;1;NA;NA;0;;
406;gratificacao eleitoral ref 102020;409;0;1;NA;NA;0;;
407;gratificacao eleitoral ref 062021;408;0;1;NA;NA;0;;
408;gratificacao eleitoral ref 022021;407;0;1;NA;NA;0;;
409;gratificacao eleitoral ref 072020;407;0;1;NA;NA;0;;
