;item_sanitizado;contagem_itens;orgaos_unicos_mp;orgaos_unicos_geral;categoria_cnj;categoria_mp;flag;PL;status
2586;dec jud quintos magistrado dec jud quintos magistrado decjud adiant grat natalina ativo indenizacao de licenca compensatoria magistrados dif indenizacao de licenca compensatoria magistrados;1;0;1;NA;NA;0;;
2587;dec jud restabelecimento de pensao dev dec jud restabelecimento de pensao;1;0;1;NA;NA;0;;
2588;dec jud restabelecimento de pensao dif dec jud restabelecimento de pensao;1;0;1;NA;NA;0;;
2589;decisao judicial gel;1;0;1;NA;NA;0;;
2590;decisao judicial ntj gel;1;0;1;NA;NA;0;;
2591;decjudntjvpni gel ir deposito em juizo dec jud vpnigelativofrias;1;0;1;NA;NA;0;;
2592;desp ex anterreembolso pos graduacao;1;0;1;NA;NA;0;;
2593;desp exerc ant ativo pssirrf;1;0;1;NA;NA;0;;
2594;desp exerc ant pensao natalina e penscormonet irrfpss;1;0;1;NA;NA;0;;
2595;desp exerc ant pensionis;1;0;1;NA;NA;0;;
2596;despesas de exercicios anteriores exerc 2021a titulo de indenizacao pelas despesas adicionais decorrentes do mister das atividades de suporte de juiz auxiliar da presidencia;1;0;1;NA;NA;0;;
2597;despexantatjmora feri;1;0;1;NA;NA;0;;
2598;despexanter ativo venc;1;0;1;NA;NA;0;;
2599;despexantinatadic fer;1;0;1;NA;NA;0;;
2600;despexantinden fer 13 s;1;0;1;NA;NA;0;;
2601;despexercantatcorrmonetnatal irpss;1;0;1;NA;NA;0;;
2602;despexercantativoadic ferias 13;1;0;1;NA;NA;0;;
2603;despexercantatjuros mora sinc e outros;1;0;1;NA;NA;0;;
2604;despexercantinativocormonetirrfpss;1;0;1;NA;NA;0;;
2605;despexercantpens juros mora sincidenciajud;1;0;1;NA;NA;0;;
2606;despexercantpenscormonet irrfpss;1;0;1;NA;NA;0;;
2607;despexercantpensjuros;1;0;1;NA;NA;0;;
2608;despexercantsubsidio irrfpss;1;0;1;NA;NA;0;;
2609;dev de previdencia;1;0;1;NA;NA;0;;
2610;dev de valores grat correg adjunto;1;0;1;NA;NA;0;;
2611;dev desconto de idi;1;0;1;NA;NA;0;;
2612;dev gratificacao juiz auxiliar;1;0;1;NA;NA;0;;
2613;dev preves 13 serv;1;0;1;NA;NA;0;;
2614;dev prosocialcontribuicao dependente direto dev prosocialcontribuicao dependente direto dev prosocialcontribuicao dependente direto dev prosocialcontribuicao dependente direto dev prosocialcontribuicao dependente direto;1;0;1;NA;NA;0;;
2615;dev prosocialcontribuio dependente direto;1;0;1;NA;NA;0;;
2616;dev psseatualmonetariapss;1;0;1;NA;NA;0;;
2617;devajufe mensalidade devajufe mensalidade devajufe mensalidade devajufe mensalidade;1;0;1;NA;NA;0;;
2618;devajufe mensalidade devajufe mensalidade devajufe mensalidade devajufe mensalidade devajufe mensalidade;1;0;1;NA;NA;0;;
2619;devol de ir devol previd gratificacao de direcao de forum inativo;1;0;1;NA;NA;0;;
2620;devol desconto judicial;1;0;1;NA;NA;0;;
2621;devol funpresp car invalidez e morte;1;0;1;NA;NA;0;;
2622;devol funpresp car morte;1;0;1;NA;NA;0;;
2623;devol imposto de renda ferias;1;0;1;NA;NA;0;;
2624;devol irrf;1;0;1;NA;NA;0;;
2625;devol valores;1;0;1;NA;NA;0;;
2626;devolucao abono de permaencia;1;0;1;NA;NA;0;;
2627;devolucao de contribuicao;1;0;1;NA;NA;0;;
2628;devolucao de contribuicao de previdenciaria;1;0;1;NA;NA;0;;
2629;devolucao de contribuicoes previdenciarias;1;0;1;NA;NA;0;;
2630;devolucao de desconto indevido convocacoes;1;0;1;NA;NA;0;;
2631;devolucao de imposto de renda diferenca de entrancia;1;0;1;NA;NA;0;;
2632;devolucao de ir devolucao de ir devolucao de ir;1;0;1;NA;NA;0;;
2633;devolucao de ir devolucao de previdencia;1;0;1;NA;NA;0;;
2634;devolucao de ir devolucao de previdencia gratificacao de direcao de forum inativo;1;0;1;NA;NA;0;;
2635;devolucao de ir e contribuicao previdenciaria;1;0;1;NA;NA;0;;
2636;devolucao de ir gratificacao de direcao de forum inativo;1;0;1;NA;NA;0;;
2637;devolucao de previdencia devolucao de imposto de renda gratificacao de direcao de forum inativo;1;0;1;NA;NA;0;;
2638;devolucao de valores convocacoes;1;0;1;NA;NA;0;;
2639;devolucao de valores grat vicepresidente;1;0;1;NA;NA;0;;
2640;devolucao de valores gratificacao docencia;1;0;1;NA;NA;0;;
2641;devolucao de vantagens eventuais;1;0;1;NA;NA;0;;
2642;devolucao desconto indevido;1;0;1;NA;NA;0;;
2643;devolucao desconto indevido convocacoes;1;0;1;NA;NA;0;;
2644;devolucao irrf 0 ferias;1;0;1;NA;NA;0;;
2645;devolucao limitador inativo;1;0;1;NA;NA;0;;
2646;devolucao pensao alimenticia devolucao pensao alimenticia funcao gratificada funcao gratificada gratacumjur;1;0;1;NA;NA;0;;
2647;devolucao pensao alimenticia devolucao pensao alimenticia funcao gratificada gratacumjur;1;0;1;NA;NA;0;;
2648;devolucao pensao alimenticia funcao gratificada gratacumjur;1;0;1;NA;NA;0;;
2649;devolucao pensao alimenticia funcao gratificada gratacumjur gratacumjur;1;0;1;NA;NA;0;;
2650;devolucao pensao alimenticia gratacumjur;1;0;1;NA;NA;0;;
2651;devolucoes de ir devolucoes previdencia gratificacao de direcao de forum inativo;1;0;1;NA;NA;0;;
2652;devolucoes de ir gratificacao de direcao de forum inativo;1;0;1;NA;NA;0;;
2653;devolucoes de ir gratificacao de direcao de forum inativo correcao monet indenizatoria juros;1;0;1;NA;NA;0;;
2654;devolucoes de previdencia;1;0;1;NA;NA;0;;
2655;devolucoes de previdencia gratificacao de forum inativo;1;0;1;NA;NA;0;;
2656;devolucoes de valores correcao monet indenizatoria;1;0;1;NA;NA;0;;
2657;devolucoes de valores correcao monet indenizatoria convocacoes;1;0;1;NA;NA;0;;
2658;devolucoes de valores grat correg adjunto gratificacao de docencia;1;0;1;NA;NA;0;;
2659;devolucoes de valores grat correg adjunto plantao judiciario;1;0;1;NA;NA;0;;
2660;devolucoes de valores grat corregedor gratificacao de docencia;1;0;1;NA;NA;0;;
2661;devolucoes de valores grat corregedor plantao judiciario;1;0;1;NA;NA;0;;
2662;devolucoes de valores grat presidente grat vicepresidente gratificacao de docencia;1;0;1;NA;NA;0;;
2663;devolucoes de valores grat presidente gratificacao de docencia;1;0;1;NA;NA;0;;
2664;devolucoes de valores grat seg vpresid gratificacao de docencia;1;0;1;NA;NA;0;;
2665;devolucoes de valores grat seg vpresid plantao judiciario;1;0;1;NA;NA;0;;
2666;devolucoes de valores grat vicepresidente gratificacao de docencia;1;0;1;NA;NA;0;;
2667;devolucoes de valores gratificacao corregedor;1;0;1;NA;NA;0;;
2668;devolucoes de valores gratificacao presidente;1;0;1;NA;NA;0;;
2669;devolucoes de valores gratificacao vice presidente;1;0;1;NA;NA;0;;
2670;devolucoes de valores juros convocacoes;1;0;1;NA;NA;0;;
2671;devolucoes de valores parcela art 95 iiicrfb mag ativo;1;0;1;NA;NA;0;;
2672;devolucoes ir devolucoes previdencia gratificacao de direcao de forum inativo;1;0;1;NA;NA;0;;
2673;devolucoes previdencia correcao monet indenizatoria juros;1;0;1;NA;NA;0;;
2674;devolucoes previdencia correcao monetariainat;1;0;1;NA;NA;0;;
2675;devolucoes previdencia devolucoes de valores;1;0;1;NA;NA;0;;
2676;devolucoesacerto financeiro indenizacao de compensacao de horas licenca compensatoria gratificacao de gabinete;1;0;1;NA;NA;0;;
2677;dif abono de perm grat n;1;0;1;NA;NA;0;;
2678;dif abono ferias difgr dir forum dev irrf ab ferias;1;0;1;NA;NA;0;;
2679;dif abono ferias difgr ouvidor jud;1;0;1;NA;NA;0;;
2680;dif abono ferias difgr vicecorreg dif13salnincorp;1;0;1;NA;NA;0;;
2681;dif abono ferias difgrprescamiso difgr ouvidor jud;1;0;1;NA;NA;0;;
2682;dif acumulo jurisd c excl ex ant;1;0;1;NA;NA;0;;
2683;dif assistencia medicosocial auxiliosaude servidor mp;1;1;1;NA;NA;0;;
2684;dif auxilio moradia magexerc ant;1;0;1;NA;NA;0;;
2685;dif auxiliomoradia membro mp;1;1;1;NA;NA;0;;
2686;dif bolsa pesquisa;1;0;1;NA;NA;0;;
2687;dif decisao judicial trans julgado quintosdecimos vpni magistrado dif decisao judicial trans julgado quintosdecimos vpni magistrado dif decisao judicial trans julgado quintosdecimos vpni magistrado;1;0;1;NA;NA;0;;
2688;dif ent ferias13substituicaopecunia licenca exerant;1;0;1;NA;NA;0;;
2689;dif ent feriasgrat horaaula;1;0;1;NA;NA;0;;
2690;dif ent feriasind pla restjoe122015ant;1;0;1;NA;NA;0;;
2691;dif grat acumulo jurisd c exclusiv;1;0;1;NA;NA;0;;
2692;dif grat acumulo turma recursal;1;0;1;NA;NA;0;;
2693;dif grat diretor de forum;1;0;1;NA;NA;0;;
2694;dif grat juiz auxiliar corregedoria;1;0;1;NA;NA;0;;
2695;dif grat por subst em cargo de direcao;1;0;1;NA;NA;0;;
2696;dif gratjuiz assistente rescnj 722009 e indenizacao lic compensatoria restj 112023;1;0;1;NA;NA;0;;
2697;dif gratjuiz assistente rescnj 722009gratjuiz assistente rescnj 722009;1;0;1;NA;NA;0;;
2698;dif ind art 184 ii lei 1;1;0;1;NA;NA;0;;
2699;dif indenizacao de cumulacao art 2o da resolucao 09;1;0;1;NA;NA;0;;
2700;dif indenizacao resolucao 92014art 1 iii20;1;0;1;NA;NA;0;;
2701;dif lei 656594;1;0;1;NA;NA;0;;
2702;dif pens vit exerc anterior;1;0;1;NA;NA;0;;
2703;dif vale alimmag;1;0;1;NA;NA;0;;
2704;difamagauxsaumag;1;0;1;NA;NA;0;;
2705;difaumento salarial;1;0;1;NA;NA;0;;
2706;difdifindividual mag ativo e outro;1;0;1;NA;NA;0;;
2707;diferenca cota mensal de telefonia;1;0;1;NA;NA;0;;
2708;diferenca de abono permanencia dif grat ferias integral;1;0;1;NA;NA;0;;
2709;diferenca de entrancia correcao monet indenizatoria juros plantao judiciario pecunia;1;0;1;NA;NA;0;;
2710;diferenca de entrancia correcao monetaria auxilios;1;0;1;NA;NA;0;;
2711;diferenca de entrancia indenizacao de remuneracao;1;0;1;NA;NA;0;;
2712;diferenca de entrancia juros;1;0;1;NA;NA;0;;
2713;diferenca de entrancia juros indenizacao de remuneracao;1;0;1;NA;NA;0;;
2714;diferenca de entrancia plantao judiciario;1;0;1;NA;NA;0;;
2715;diferenca de entranciadevolucao de outros valores;1;0;1;NA;NA;0;;
2716;diferenca de retencao de recadastramento;1;0;1;NA;NA;0;;
2717;diferenca subsidio mag inativo provisorio;1;0;1;NA;NA;0;;
2718;difgrprescamiso difgrprescamiso;1;0;1;NA;NA;0;;
2719;est teto const;1;0;1;NA;NA;0;;
2720;estorno de teto;1;0;1;NA;NA;0;;
2721;exerc ant benef especial lei 1261812 inativo sem ir principal correcao juros;1;0;1;NA;NA;0;;
2722;exerc anteriores pae esc 5rra ativos e inativos;1;0;1;NA;NA;0;;
2723;exerc anteriores pae esc 5rra inativos;1;0;1;NA;NA;0;;
2724;exerc anteriores paerra correcao inativos exerc anteriores paerra correcao;1;0;1;NA;NA;0;;
2725;exerc anteriores paerra correcao pensionista;1;0;1;NA;NA;0;;
2726;exerc anteriores paerra exerc anteriores paerra correcao;1;0;1;NA;NA;0;;
2727;exerc anteriores paerra juros exerc anteriores paerra juros inativos;1;0;1;NA;NA;0;;
2728;exerc anteriores paerra juros pensionista;1;0;1;NA;NA;0;;
2729;exercicios anteriores ajuda custo;1;0;1;NA;NA;0;;
2730;exercicios anteriores gratifexerccumuloficjurisd;1;0;1;NA;NA;0;;
2731;exercicios anteriores gratifexerccumuloficjurisd jr representacao mensal exercicio da presidencia do regional;1;0;1;NA;NA;0;;
2732;ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal;1;0;1;NA;NA;0;;
2733;ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm sobre 13;1;0;1;NA;NA;0;;
2734;ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm sobre 13;1;0;1;NA;NA;0;;
2735;ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm sobre 13;1;0;1;NA;NA;0;;
2736;ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm sobre 13 ffipajm sobre 13;1;0;1;NA;NA;0;;
2737;ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm sobre 13;1;0;1;NA;NA;0;;
2738;ffipajm mensal ffipajm mensal ffipajm mensal ffipajm mensal ffipajm sobre 13;1;0;1;NA;NA;0;;
2739;ffipajm mensal ffipajm mensal ffipajm sobre 13;1;0;1;NA;NA;0;;
2740;ffipajm mensal ffipajm mensal ffipajmmensalpj;1;0;1;NA;NA;0;;
2741;ffipajm mensal ir ir sobre 13 salario;1;0;1;NA;NA;0;;
2742;ffipajmmensalpj;1;0;1;NA;NA;0;;
2743;fpipajm mensal lei 2822004 fpipajm mensal lei 2822004;1;0;1;NA;NA;0;;
2744;fpipajm mensal lei 2822004 preves facul mensal segurado;1;0;1;NA;NA;0;;
2745;funcao gratificada funcao gratificada funcao gratificada funcao gratificada funcao gratificada funcao gratificada funcao gratificada funcao gratificada funcao gratificada funcao gratificada funcao gratificada funcao gratificada funcao gratificada funcao gratificada funcao gratificada funcao gratificada;1;0;1;NA;NA;0;;
2746;funcao gratificada funcao gratificada funcao gratificada funcao gratificada funcao gratificada gratacumjur gratacumjur;1;0;1;NA;NA;0;;
2747;funcao gratificada funcao gratificada funcao gratificada funcao gratificada gratacumjur;1;0;1;NA;NA;0;;
2748;funcao gratificada funcao gratificada gratacumjur gratacumjur gratacumjur;1;0;1;NA;NA;0;;
2749;funcao gratificada gratacumjur gratacumjur gratacumjur gratacumjur;1;0;1;NA;NA;0;;
2750;funcao gratificada gratificacao magisterio gratacumjur gratacumjur;1;0;1;NA;NA;0;;
2751;funcao gratificada gratificacao magisterio gratificacao magisterio gratacumjur;1;0;1;NA;NA;0;;
2752;gedor;1;0;1;NA;NA;0;;
2753;gn sgart repres presidente;1;0;1;NA;NA;0;;
2754;grat acumulo turma recursal;1;0;1;NA;NA;0;;
2755;grat ass correged dif abono ferias;1;0;1;NA;NA;0;;
2756;grat ass presid dif abono ferias;1;0;1;NA;NA;0;;
2757;grat ass presid dif abono ferias difgr ass presid;1;0;1;NA;NA;0;;
2758;grat ass presid gratassvicepresid;1;0;1;NA;NA;0;;
2759;grat col recursal dev preves servidor devol irrf;1;0;1;NA;NA;0;;
2760;grat col recursal devol teto salarial;1;0;1;NA;NA;0;;
2761;grat col recursal dif abono ferias dif abono ferias difgr dir forum difgr colrecursal;1;0;1;NA;NA;0;;
2762;grat col recursal dif substituicoes;1;0;1;NA;NA;0;;
2763;grat col recursal dif substituicoes dif abono ferias;1;0;1;NA;NA;0;;
2764;grat coordenacao da cem;1;0;1;NA;NA;0;;
2765;grat coordenacao de cejusc exer ant;1;0;1;NA;NA;0;;
2766;grat coordenacao do nupemec;1;0;1;NA;NA;0;;
2767;grat coordenador difgr dir forum;1;0;1;NA;NA;0;;
2768;grat coordenador difgr dir forum difgratcoordenador;1;0;1;NA;NA;0;;
2769;grat correg adjunto correcao monet indenizatoria juros;1;0;1;NA;NA;0;;
2770;grat correg adjunto correcao monetaria auxilios;1;0;1;NA;NA;0;;
2771;grat correg adjunto devolucao de imposto de renda;1;0;1;NA;NA;0;;
2772;grat correg adjunto devolucao de valores;1;0;1;NA;NA;0;;
2773;grat correg adjunto plantao judiciario pecunia;1;0;1;NA;NA;0;;
2774;grat correg adjuntodevolucao de outros valores;1;0;1;NA;NA;0;;
2775;grat corregedor correcao monet indenizatoria juros plantao judiciario pecunia;1;0;1;NA;NA;0;;
2776;grat corregedor correcao monetaria auxilios;1;0;1;NA;NA;0;;
2777;grat corregedor devolucao de imposto de renda;1;0;1;NA;NA;0;;
2778;grat corregedor devolucao de valores;1;0;1;NA;NA;0;;
2779;grat corregedor dif abono ferias dif gr corregedor;1;0;1;NA;NA;0;;
2780;grat corregedor foro extrajudicial;1;0;1;NA;NA;0;;
2781;grat corregedor indenizacao de remuneracao;1;0;1;NA;NA;0;;
2782;grat corregedor juros;1;0;1;NA;NA;0;;
2783;grat corregedor juros indenizacao de remuneracao;1;0;1;NA;NA;0;;
2784;grat de exercicio presidencia tjdf e dif grat de exercicio presidencia tjdf;1;0;1;NA;NA;0;;
2785;grat direcao forum dev irrf ab ferias;1;0;1;NA;NA;0;;
2786;grat direcao forum dif abono ferias difgr dir forum dev preves servidor;1;0;1;NA;NA;0;;
2787;grat direcao forum dif abono ferias difgr dir forum devol teto salarial;1;0;1;NA;NA;0;;
2788;grat direcao forum dif abono ferias difgr dir forum difgr colrecursal;1;0;1;NA;NA;0;;
2789;grat direcao forum dif abono ferias difgr dir forum difgr dir forum;1;0;1;NA;NA;0;;
2790;grat direcao forum dif substituicoes dif abono ferias difgr dir forum dif13salnincorp;1;0;1;NA;NA;0;;
2791;grat direcao forum dif substituicoes dif abono ferias difgr dir forum dif13salnincorp devol teto salarial;1;0;1;NA;NA;0;;
2792;grat direcao forum difgr colrecursal;1;0;1;NA;NA;0;;
2793;grat direcao forum grat col recursal dif abono ferias;1;0;1;NA;NA;0;;
2794;grat direcao forum grat coordenador dif abono ferias difgratcoordenador;1;0;1;NA;NA;0;;
2795;grat direcao forum grat coordenador difgr dir forum;1;0;1;NA;NA;0;;
2796;grat diretor escola devol teto salarial;1;0;1;NA;NA;0;;
2797;grat diretor forum retro;1;0;1;NA;NA;0;;
2798;grat doc capacitador mestredea res02213pr;1;0;1;NA;NA;0;;
2799;grat doc conteudista doutordea res02213pr;1;0;1;NA;NA;0;;
2800;grat docencia capacitador doutor res02213pr;1;0;1;NA;NA;0;;
2801;grat docencia capacitador mestre res02213pr;1;0;1;NA;NA;0;;
2802;grat docencia conteudista especialista res02213pr;1;0;1;NA;NA;0;;
2803;grat eleit 022024 032024;1;0;1;NA;NA;0;;
2804;grat eleit 0522 e 0122 retro;1;0;1;NA;NA;0;;
2805;grat eleit 10 e 112019 retroativo;1;0;1;NA;NA;0;;
2806;grat eleit 10 e 112019 retroativo 122019;1;0;1;NA;NA;0;;
2807;grat eleit 112023 112023;1;0;1;NA;NA;0;;
2808;grat eleit retro 072021 e 082021;1;0;1;NA;NA;0;;
2809;grat exercicio da presidencia;1;0;1;NA;NA;0;;
2810;grat horaaula13 abono ec 410313substituicao;1;0;1;NA;NA;0;;
2811;grat horaaula13 abono ec 4103instrutor pos graduacao;1;0;1;NA;NA;0;;
2812;grat horaaula13 abono ec 4103pecunia licenca vigente;1;0;1;NA;NA;0;;
2813;grat horaaula13substituicaodevolde feriasind pla restjoe122015ant;1;0;1;NA;NA;0;;
2814;grat horaaula13substituicaopecunia licenca exerant;1;0;1;NA;NA;0;;
2815;grat horaaulaind pla res oe122015 antinstrutor pos graduacao;1;0;1;NA;NA;0;;
2816;grat horaaulainden plan restjoe122015ind pla res oe122015 ant;1;0;1;NA;NA;0;;
2817;grat horaaulapecunia licenca exerantinstrutor pos graduacao;1;0;1;NA;NA;0;;
2818;grat horaaularepr 553509 iii iv e v13 abono ec 4103inden plan restjoe122015ind pla restjoe122015ant;1;0;1;NA;NA;0;;
2819;grat horaaularepr 553509 iii iv e vinden plan restjoe122015ind pla res oe122015 ant;1;0;1;NA;NA;0;;
2820;grat horaaularepr 553509 iii iv e vinden plan restjoe122015ind pla restjoe122015ant;1;0;1;NA;NA;0;;
2821;grat horaaularepr 553509 iii iv e vinstrutor pos graduacao;1;0;1;NA;NA;0;;
2822;grat horaaulareprlei 553509 vi e vii13substituicao;1;0;1;NA;NA;0;;
2823;grat horaaulareprlei 553509 vi e viipecunia licenca vigenteinstrutor pos graduacao;1;0;1;NA;NA;0;;
2824;grat juiz turma recursal amarr ressarcimento;1;0;1;NA;NA;0;;
2825;grat juiz turma recursal retroativo;1;0;1;NA;NA;0;;
2826;grat ouvjudiciario devol teto salarial;1;0;1;NA;NA;0;;
2827;grat ouvjudiciario difgr ouvidor jud;1;0;1;NA;NA;0;;
2828;grat p exerccumulativo amarr ressarcimento;1;0;1;NA;NA;0;;
2829;grat pacumulacao de acervoacervo retro;1;0;1;NA;NA;0;;
2830;grat por acumulacao de jur;1;0;1;NA;NA;0;;
2831;grat prescamiso dif abono ferias difgrprescamiso;1;0;1;NA;NA;0;;
2832;grat presidencia grat prescamiso;1;0;1;NA;NA;0;;
2833;grat presidente correcao monet indenizatoria juros plantao judiciario pecunia;1;0;1;NA;NA;0;;
2834;grat presidente correcao monetaria auxilios;1;0;1;NA;NA;0;;
2835;grat presidente grat seg vpresid;1;0;1;NA;NA;0;;
2836;grat presidente grat vicepresidente correcao monet indenizatoria juros plantao judiciario pecunia;1;0;1;NA;NA;0;;
2837;grat presidente grat vicepresidente grat seg vpresid;1;0;1;NA;NA;0;;
2838;grat presidente grat vicepresidente indenizacao de remuneracao;1;0;1;NA;NA;0;;
2839;grat presidente gratificacao de docencia plantao judiciario pecunia;1;0;1;NA;NA;0;;
2840;grat presidente indenizacao de remuneracao;1;0;1;NA;NA;0;;
2841;grat presidente juros;1;0;1;NA;NA;0;;
2842;grat presidente juros indenizacao de remuneracao;1;0;1;NA;NA;0;;
2843;grat seg vpresid correcao monet indenizatoria juros;1;0;1;NA;NA;0;;
2844;grat seg vpresid correcao monetaria auxilios;1;0;1;NA;NA;0;;
2845;grat seg vpresid devolucao de valores;1;0;1;NA;NA;0;;
2846;grat seg vpresid grat vicepresidente;1;0;1;NA;NA;0;;
2847;grat seg vpresid grat vicepresidente grat presidente devolucao de valores;1;0;1;NA;NA;0;;
2848;grat seg vpresid plantao judiciario pecunia;1;0;1;NA;NA;0;;
2849;grat seg vpresiddevolucao de outros valores;1;0;1;NA;NA;0;;
2850;grat supervisor dif abono ferias;1;0;1;NA;NA;0;;
2851;grat supervisor do cejusc;1;0;1;NA;NA;0;;
2852;grat turma recursal rest;1;0;1;NA;NA;0;;
2853;grat vicepresid dif abono ferias difgrprescamiso;1;0;1;NA;NA;0;;
2854;grat vicepresid grat corregedor;1;0;1;NA;NA;0;;
2855;grat vicepresidente correcao monetaria auxilios;1;0;1;NA;NA;0;;
2856;grat vicepresidente devolucao de imposto de renda;1;0;1;NA;NA;0;;
2857;grat vicepresidente grat presidente devolucao de imposto de renda;1;0;1;NA;NA;0;;
2858;grat vicepresidente grat presidente devolucao de valores;1;0;1;NA;NA;0;;
2859;grat vicepresidente grat seg vpresid correcao monet indenizatoria juros;1;0;1;NA;NA;0;;
2860;grat vicepresidente grat seg vpresid indenizacao de remuneracao;1;0;1;NA;NA;0;;
2861;grat vicepresidente gratificacao encargos concurso;1;0;1;NA;NA;0;;
2862;grat vicepresidente juros;1;0;1;NA;NA;0;;
2863;grat vicepresidente juros indenizacao de remuneracao;1;0;1;NA;NA;0;;
2864;grat vicepresidente plantao judiciario;1;0;1;NA;NA;0;;
2865;grat vicepresidente plantao judiciario pecunia;1;0;1;NA;NA;0;;
2866;gratif eleitoral 012019022019032019;1;0;1;NA;NA;0;;
2867;gratif eleitoral 012020022020032020 retroativo;1;0;1;NA;NA;0;;
2868;gratif eleitoral 012020032020 retroativo;1;0;1;NA;NA;0;;
2869;gratif eleitoral 022019032019 retroativo 122018;1;0;1;NA;NA;0;;
2870;gratif eleitoral 022020032020;1;0;1;NA;NA;0;;
2871;gratif eleitoral 032019 retroativo 112018122018;1;0;1;NA;NA;0;;
2872;gratif eleitoral 032020042020 retroativo;1;0;1;NA;NA;0;;
2873;gratif eleitoral retroativo;1;0;1;NA;NA;0;;
2874;gratif exercicio cumulativo funcoes admin rest;1;0;1;NA;NA;0;;
2875;gratif exercicio cumulativo funcoes administrativasgrat pacumulacao de acervo retro ex anterior;1;0;1;NA;NA;0;;
2876;gratificacao corregedor adjunto;1;0;1;NA;NA;0;;
2877;gratificacao de direcao de forum convocacoes indenizacao de remuneracao;1;0;1;NA;NA;0;;
2878;gratificacao de direcao de forum convocacoes plantao judiciario pecunia;1;0;1;NA;NA;0;;
2879;gratificacao de direcao de forum correcao monet indenizatoria juros convocacoes plantao judiciario pecunia;1;0;1;NA;NA;0;;
2880;gratificacao de direcao de forum correcao monetaria auxilios convocacoes;1;0;1;NA;NA;0;;
2881;gratificacao de direcao de forum devolucoes de ir;1;0;1;NA;NA;0;;
2882;gratificacao de direcao de forum devolucoes de valores convocacoes plantao judiciario;1;0;1;NA;NA;0;;
2883;gratificacao de direcao de forum devolucoes de valores grat vicepresidente;1;0;1;NA;NA;0;;
2884;gratificacao de direcao de forum devolucoes de valores gratificacao de docencia plantao judiciario pecunia;1;0;1;NA;NA;0;;
2885;gratificacao de direcao de forum devolucoes de valores juros indenizacao de remuneracao;1;0;1;NA;NA;0;;
2886;gratificacao de direcao de forum devolucoes de valores juros indenizacao de remuneracao plantao judiciario pecunia;1;0;1;NA;NA;0;;
2887;gratificacao de direcao de forum diferenca de entrancia correcao monet indenizatoria juros plantao judiciario pecunia;1;0;1;NA;NA;0;;
2888;gratificacao de direcao de forum diferenca de entrancia correcao monetaria auxilios;1;0;1;NA;NA;0;;
2889;gratificacao de direcao de forum diferenca de entrancia devolucoes de valores plantao judiciario pecunia;1;0;1;NA;NA;0;;
2890;gratificacao de direcao de forum diferenca de entrancia juros;1;0;1;NA;NA;0;;
2891;gratificacao de direcao de forum inativodevolucao de ir devolucao de previdencia;1;0;1;NA;NA;0;;
2892;gratificacao de direcao de forum indenizacao de remuneracao gratificacao de docencia;1;0;1;NA;NA;0;;
2893;gratificacao de direcao de forum indenizacao remuneracao;1;0;1;NA;NA;0;;
2894;gratificacao de direcao de forum plantao judiciario pecunia gratificacao encargos concurso;1;0;1;NA;NA;0;;
2895;gratificacao de direcao de forum ratificacao de docencia;1;0;1;NA;NA;0;;
2896;gratificacao de direcao de forum9;1;0;1;NA;NA;0;;
2897;gratificacao de direcao de forumdevolucao de ir;1;0;1;NA;NA;0;;
2898;gratificacao de presenca membro tre e gratificacao eleitoral juiz auxiliar;1;0;1;NA;NA;0;;
2899;gratificacao direcao de forum diferenca de entrancia;1;0;1;NA;NA;0;;
2900;gratificacao direcao de forum diferenca de entrancia devolucoes de valores;1;0;1;NA;NA;0;;
2901;gratificacao eleitoral ref 112017;1;0;1;NA;NA;0;;
2902;gratificacao exercicio de mandato restituicao;1;0;1;NA;NA;0;;
2903;gratificacao exercicio de mandato retroativo;1;0;1;NA;NA;0;;
2904;gratificacao exercicio presidencia trf adicional tempo de servico subsidio magistrado acordao no 0406293 provento adicional tempo de servico subsidio magistrado acordao no 0406293 provento provisorio adicional tempo servico subsidio magistrado acordao no 0406293 ats subsidio magistrado acordao cm adicional tempo de servico subsidio magistrado acordao no 0406293 juros provento adicional tempo de servico subsidio magistrado acordao no 0406293 cm pensao adicional tempo de servico subsidio magistrado acordao no 0406293 cm provento provisorio adicional tempo de servico subsidio magistrado cm provento adicional tempo de servico subsidio magistrado acordao no 0406293 juros pensao adicional tempo de servico subsidio magistrado acordao no 0406294 juros provento provisorio adicional tempo de servico subsidio magistrado juros;1;0;1;NA;NA;0;;
2905;gratificacao magisterio gratificacao magisterio gratacumjur;1;0;1;NA;NA;0;;
2906;gratificacao natalina magistrado dec jud trans julgado;1;0;1;NA;NA;0;;
2907;gratificacao presidente;1;0;1;NA;NA;0;;
